Location,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Africa,372.0,370.0,370.6,369.6,364.1,354.3,342.4,328.9,316.5,305.1,293.7,283.0,272.8,263.9,257.7,250.3,243.7,237.6,232.2,227.5,228.6,245.1
Americas,134.4,133.5,132.2,130.6,128.2,126.9,125.6,123.8,123.7,123.9,127.1,120.3,119.6,118.5,117.9,118.0,120.1,118.5,117.4,116.5,139.4,158.3
Eastern Mediterranean,189.7,188.7,186.9,187.9,183.9,184.9,179.4,175.6,171.6,169.1,166.8,170.5,165.0,161.0,162.9,161.8,159.6,156.7,152.6,148.1,160.1,173.3
Europe,163.8,162.8,163.7,164.8,162.8,164.2,155.6,150.6,147.7,139.6,135.5,130.0,125.7,121.6,120.4,116.8,113.6,108.7,107.9,104.4,112.1,119.4
South-East Asia,214.1,209.7,205.5,200.1,199.2,192.3,189.3,186.7,186.0,181.5,179.6,176.6,174.3,171.8,168.8,167.4,164.9,162.6,159.3,156.3,164.5,203.9
Western Pacific,133.4,131.4,130.2,128.9,127.6,125.0,121.0,117.6,115.9,111.0,108.1,105.8,103.6,101.1,98.88,97.5,96.56,94.92,93.82,92.92,91.87,96.19
