Location,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Africa,21.66,21.58,22.13,29.01,33.35,34.74,36.65,40.85,42.35,41.85,49.96,55.48,58.9,59.02,59.65,53.01,53.69,58.94,59.13,58.37,59.47,65.47,64.22
Americas,221.4,229.82,232.09,251.94,275.92,302.87,331.74,371.35,410.28,427.15,468.06,502.92,525.68,549.54,562.7,567.36,574.01,613.31,606.44,616.59,677.14,714.6,733.16
Eastern Mediterranean,134.17,147.84,139.36,158.29,167.8,185.14,198.89,215.67,246.22,269.42,278.24,309.03,337.67,349.42,371.89,361.57,355.3,336.81,355.02,368.05,385.43,391.09,366.82
Europe,699.93,726.56,829.96,1046.28,1209.95,1293.58,1357.63,1570.21,1783.07,1717.82,1717.61,1830.87,1728.45,1803.66,1837.89,1590.25,1628.53,1708.85,1841.84,1833.91,2008.02,2302.49,2173.69
South-East Asia,18.56,18.46,19.9,19.78,23.06,26.09,32.37,43.66,68.2,64.86,61.19,61.23,67.33,74.55,84.37,103.18,117,115.44,114.27,121.01,126.91,140.32,156.37
Western Pacific,272.54,287.67,264.56,308.08,354.25,380.17,486.78,460.52,501.91,505.5,568.4,694.52,680.26,656.07,687.89,622.02,673.65,701.82,743.44,775.97,831.98,936.92,923.1
