Location,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Africa,52.98,53.47,53.84,54.27,54.89,55.64,56.44,57.29,58.09,58.84,59.57,60.26,60.93,61.52,61.97,62.45,62.92,63.36,63.78,64.17,63.96,63.55
Americas,74.09,74.3,74.5,74.7,75.07,75.29,75.62,75.83,75.94,76.17,75.8,76.46,76.63,76.73,76.83,76.79,76.71,76.84,76.98,77.07,75.07,74.11
Eastern Mediterranean,65.45,65.65,65.89,65.94,66.33,66.41,66.89,67.21,67.59,67.91,68.14,68.19,68.4,68.82,68.83,68.94,69.23,69.51,69.83,70.18,68.93,68.49
Europe,72.4,72.67,72.71,72.79,73.32,73.41,74.11,74.52,74.82,75.32,75.63,76.14,76.36,76.7,76.89,77.02,77.35,77.62,77.75,78.1,76.92,76.29
South-East Asia,64.07,64.53,64.97,65.44,65.59,66.31,66.65,66.93,67.07,67.81,68.22,68.63,69.06,69.37,69.73,70.14,70.52,70.77,71.05,71.37,70.72,68.37
Western Pacific,71.96,72.24,72.52,72.72,72.92,73.33,74.06,74.55,74.69,75.03,75.25,75.55,75.95,76.26,76.59,76.83,77.0,77.22,77.37,77.49,77.7,77.42
