Location,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Africa,45.07,44.65,44.31,43.98,43.64,43.15,42.7,42.19,41.49,40.69,39.85,38.91,37.96,36.99,36.04,35.15,34.36,33.64,32.94,32.36,31.79,31.27,30.75,30.27,29.84,29.42,29.02,28.6,28.16,27.7,27.23,26.77,26.29
Americas,18.29,17.82,17.36,16.91,16.41,15.87,15.29,14.72,14.15,13.61,13.01,12.46,11.91,11.36,10.9,10.47,10.07,9.74,9.47,9.26,9.1,8.91,8.72,8.52,8.32,8.29,8.32,8.12,8.04,7.91,7.75,7.52,7.28
Eastern Mediterranean,44.41,43.93,43.48,43.12,42.91,42.47,41.96,41.32,40.61,39.88,39.11,38.32,37.63,36.95,36.23,35.46,34.69,33.96,33.11,32.44,31.67,30.9,30.17,29.39,28.64,28,27.56,26.96,26.49,26.09,25.54,25.05,24.54
Europe,13.9,13.73,13.52,13.38,13.14,12.82,12.34,11.84,11.33,10.79,10.25,9.82,9.27,8.74,8.32,7.95,7.57,7.19,6.8,6.47,6.15,5.92,5.68,5.5,5.27,5.03,4.8,4.63,4.52,4.41,4.27,4.12,3.97
South-East Asia,52.96,51.67,50.44,49.21,48.03,47.03,45.8,44.56,43.32,42.09,40.8,39.49,38.13,36.65,35.42,34.18,33.03,31.9,30.83,29.75,28.66,27.51,26.41,25.39,24.33,23.36,22.41,21.44,20.5,19.39,18.35,17.44,16.65
Western Pacific,27.1,26.31,25.71,25.07,24.25,23.38,22.39,21.43,20.5,19.66,18.86,17.74,16.58,15.42,14.29,13.2,12.15,11.19,10.34,9.59,8.93,8.34,7.79,7.37,6.94,6.62,6.25,5.97,5.94,5.81,5.89,5.89,5.72
