Location,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Africa,176.4,175.0,173.5,172.2,173.0,168.1,165.5,162.6,159.0,154.6,149.8,144.4,138.8,133.1,127.5,122.0,116.9,112.0,107.3,103.0,99.16,95.68,92.49,89.55,87.05,84.75,82.41,80.28,78.06,75.87,73.76,71.67,69.64
Americas,42.72,40.94,39.18,37.48,35.74,34.07,32.39,30.76,29.56,27.66,26.24,24.99,23.81,22.68,21.68,20.73,19.8,18.97,18.28,17.71,18.26,16.69,16.2,15.75,15.33,14.99,15.07,14.57,14.27,13.93,13.61,13.25,12.91
Eastern Mediterranean,104.4,101.7,99.17,96.88,95.15,93.22,91.05,88.65,86.11,83.62,81.14,78.7,76.43,74.33,72.34,70.27,68.22,66.21,64.04,62.05,60.06,58.29,57.03,55.21,53.27,51.67,50.2,48.92,47.88,46.61,45.25,44.17,42.88
Europe,30.76,30.18,29.87,29.43,28.63,27.85,26.63,25.3,23.98,22.58,21.13,19.98,18.72,17.49,16.43,15.5,14.61,13.81,13.03,12.4,11.77,11.27,10.8,10.41,9.98,9.55,9.09,8.72,8.45,8.2,7.94,7.65,7.39
South-East Asia,119.0,115.2,111.5,108.0,104.5,101.7,98.18,94.62,91.13,87.7,84.26,80.83,77.46,73.56,71.16,67.18,64.05,61.01,58.92,55.36,52.48,49.71,47.05,44.55,42.11,39.87,37.76,35.73,33.83,32.02,30.34,28.85,27.55
Western Pacific,51.83,50.51,49.2,47.74,46.06,44.35,42.5,40.65,38.74,36.82,34.8,32.64,30.51,28.39,26.38,24.51,22.8,21.26,19.89,18.68,17.6,16.59,15.59,14.83,14.07,13.48,12.82,12.26,12.12,11.9,11.94,11.92,11.61
