Location,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Africa,25.12,24.45,24.11,23.79,25.13,22.29,21.7,21.14,20.46,19.77,19.09,18.43,17.78,17.16,16.49,15.85,15.21,14.58,13.99,13.41,12.87,12.37,11.91,11.48,11.1,10.75,10.42,10.12,9.85,9.6,9.34,9.08,8.83
Americas,2.57,2.45,2.34,2.25,2.16,2.08,2.0,1.93,2.11,1.8,1.74,1.7,1.65,1.61,1.61,1.55,1.5,1.45,1.41,1.37,1.96,1.28,1.24,1.2,1.17,1.14,1.12,1.1,1.08,1.05,1.04,1.04,1.01
Eastern Mediterranean,8.17,7.38,7.1,6.87,6.67,6.46,6.25,6.03,5.91,5.66,5.49,5.35,5.22,5.29,5.02,5.65,4.92,4.88,4.91,4.77,4.75,4.71,4.76,4.68,4.5,4.38,4.13,4.05,4.0,3.76,3.61,3.57,3.48
Europe,2.4,2.38,2.46,2.42,2.31,2.27,2.2,2.11,2.01,2.06,1.83,1.76,1.69,1.62,1.54,1.47,1.38,1.31,1.23,1.15,1.08,1.02,0.96,0.91,0.87,0.84,0.8,0.77,0.75,0.72,0.7,0.67,0.67
South-East Asia,13.18,13.59,12.24,11.79,11.35,10.98,10.52,10.02,9.49,8.98,8.5,8.08,7.7,7.28,7.52,6.63,6.3,5.95,6.16,5.24,4.83,4.47,4.12,3.79,3.49,3.24,2.96,2.72,2.49,2.28,2.1,1.94,1.81
Western Pacific,4.65,4.44,4.16,3.93,3.71,3.5,3.29,3.11,2.94,2.76,2.61,2.46,2.32,2.19,2.06,1.95,1.85,1.77,1.88,1.61,1.54,1.5,1.41,1.41,1.3,1.26,1.21,1.17,1.13,1.09,1.06,1.03,1.0
