Location,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Africa,19.6,19.37,19.15,18.93,18.71,18.49,18.27,18.05,17.82,17.59,17.36,17.13,16.9,16.67,16.47,16.3,16.12,15.94,15.79,15.66,15.54,15.42,15.32
Americas,28.69,29.04,29.38,29.73,30.07,30.42,30.76,31.12,31.48,31.84,32.21,32.57,32.93,33.3,33.67,34.05,34.45,34.84,35.24,35.63,36.04,36.46,36.9
Eastern Mediterranean,27.58,27.99,28.42,28.85,29.29,29.76,30.24,30.75,31.29,31.84,32.38,32.9,33.45,34.01,34.57,35.12,35.68,36.23,36.76,37.29,37.79,38.29,38.79
Europe,27.11,27.09,27.06,27.03,27.01,26.99,26.98,26.98,26.98,26.98,26.97,26.96,26.93,26.91,26.91,26.92,26.95,27.0,27.07,27.14,27.22,27.29,27.42
South-East Asia,19.33,20.03,20.76,21.52,22.31,23.13,23.97,24.84,25.73,26.64,27.56,28.5,29.46,30.44,31.45,32.48,33.53,34.59,35.65,36.73,37.79,38.82,39.84
Western Pacific,20.89,21.06,21.24,21.41,21.61,21.84,22.1,22.38,22.67,22.97,23.28,23.59,23.9,24.24,24.59,24.96,25.34,25.73,26.13,26.54,26.96,27.39,27.85
