Location,2017,2018,2020,2021,2023,2024
Eastern Mediterranean,16.23,14.8,17.4,14.8,14.8,14.8
Africa,18.31,14.5,11.4,11.6,11.7,11.7
Europe,12.25,5.6,6.6,6.1,5.9,6
Americas,12.1,11.4,10.9,12.5,11.8,13.7
Western Pacific,9.72,4.5,4,4.3,4.9,5.2
South-East Asia,8.84,8.7,12.2,12.3,12.3,12.3
