Location,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Africa,6.35,6.5,6.66,6.82,6.98,7.13,7.27,7.4,7.53,7.64,7.75,7.85,7.95,8.04,8.13,8.22,8.3,8.39,8.48,8.58,8.67,8.77,8.88,8.99,9.12,9.26,9.4,9.56,9.72,9.9,10.09,10.29,10.52
Americas,7.06,7.23,7.4,7.55,7.7,7.83,7.97,8.1,8.23,8.36,8.51,8.66,8.83,9.01,9.2,9.41,9.64,9.87,10.12,10.35,10.57,10.78,10.98,11.17,11.35,11.53,11.72,11.91,12.11,12.32,12.55,12.8,13.06
Eastern Mediterranean,10.31,10.53,10.78,11.04,11.3,11.57,11.84,12.12,12.41,12.7,13.01,13.32,13.65,14.0,14.37,14.76,15.17,15.61,16.08,16.57,17.07,17.58,18.1,18.63,19.18,19.75,20.33,20.85,21.31,21.77,22.25,22.75,23.25
Europe,4.93,5.03,5.13,5.23,5.34,5.44,5.54,5.64,5.73,5.82,5.92,6.01,6.11,6.21,6.31,6.41,6.51,6.61,6.7,6.8,6.9,6.99,7.09,7.19,7.3,7.43,7.58,7.73,7.89,8.06,8.25,8.46,8.68
South-East Asia,9.84,9.98,10.12,10.26,10.41,10.57,10.73,10.91,11.1,11.31,11.54,11.79,12.06,12.33,12.62,12.9,13.18,13.45,13.72,13.97,14.22,14.47,14.74,15.04,15.38,15.79,16.27,16.8,17.37,17.98,18.61,19.28,19.97
Western Pacific,5.51,5.61,5.71,5.8,5.89,5.98,6.06,6.14,6.21,6.27,6.33,6.4,6.48,6.57,6.66,6.76,6.87,6.99,7.12,7.26,7.41,7.58,7.75,7.96,8.2,8.47,8.78,9.11,9.47,9.85,10.26,10.69,11.15
