Location,2017,2019,2020,2021,2022,2023,2024
Africa,2284,450,547,583,736,608,600
Americas,61897,58720,62406,66596,68706,65307,65942
Eastern Mediterranean,93,20,22,35,28,14,14
Europe,8197,9868,11256,8854,10431,8486,11650
South-East Asia,659,122,101,112,96,74,42
Western Pacific,1743,148,231,219,181,192,192
