Location,2000,2005,2010,2015,2017,2019,2021
Africa,27.04,26.45,26.5,30.85,30.54,29.46,27.38
Americas,81.9,81.45,82.01,91.53,91.32,87.93,87.91
Eastern Mediterranean,50.56,50.27,49.64,56.35,57.86,55.64,55.52
Europe,90.82,90.7,90.64,94.56,94.35,93.35,93.5
South-East Asia,53.45,53.82,54.66,61.62,63.55,60.63,61.68
Western Pacific,89.77,90.86,90.96,95.25,95.33,92.24,92.58
