Location,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Africa,3.57,3.75,3.94,4.14,4.35,4.58,4.81,5.05,5.31,5.59,5.86,6.15,6.44,6.74,7.03,7.32,7.61,7.88,8.15,8.4,8.64,8.88,9.11,9.34,9.59,9.86,10.13,10.42,10.72,11.04,11.37,11.72,12.08
Americas,13.93,14.49,15.07,15.66,16.26,16.88,17.52,18.17,18.84,19.51,20.18,20.84,21.5,22.14,22.78,23.4,24.02,24.62,25.22,25.81,26.4,26.98,27.56,28.15,28.74,29.34,29.95,30.56,31.18,31.8,32.45,33.1,33.77
Eastern Mediterranean,10.06,10.45,10.88,11.3,11.71,12.16,12.63,13.12,13.63,14.16,14.7,15.25,15.81,16.38,16.95,17.53,18.12,18.72,19.34,19.95,20.56,21.17,21.79,22.45,23.12,23.81,24.53,25.22,25.9,26.58,27.25,27.93,28.64
Europe,13.7,13.91,14.13,14.38,14.64,14.93,15.24,15.58,15.93,16.29,16.67,17.05,17.42,17.8,18.16,18.5,18.83,19.14,19.43,19.69,19.94,20.16,20.37,20.58,20.79,21.0,21.23,21.45,21.67,21.9,22.13,22.37,22.65
South-East Asia,1.04,1.12,1.2,1.29,1.38,1.48,1.59,1.71,1.84,1.97,2.11,2.27,2.43,2.6,2.78,2.98,3.18,3.39,3.61,3.84,4.08,4.32,4.58,4.85,5.14,5.45,5.77,6.11,6.46,6.82,7.2,7.59,8.0
Western Pacific,1.64,1.72,1.8,1.89,1.98,2.07,2.17,2.28,2.39,2.5,2.62,2.75,2.89,3.03,3.18,3.35,3.53,3.73,3.94,4.16,4.4,4.64,4.89,5.16,5.45,5.76,6.09,6.43,6.79,7.17,7.58,8.01,8.46
