Location,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Africa,717.7,708.1,701.6,694.7,688.1,682.0,679.1,671.9,668.0,661.8,654.2,645.8,636.8,628.8,620.6,615.9,608.6,601.1,593.4,587.1
Americas,496.2,488.2,482.5,479.4,467.5,463.8,452.0,445.9,444.1,435.0,435.7,428.9,423.7,421.0,418.9,421.2,419.3,414.9,412.8,410.8
Eastern Mediterranean,734.7,736.4,735.6,736.4,727.8,721.5,716.2,710.4,706.0,700.2,694.5,684.9,684.9,676.1,673.0,678.1,667.2,658.6,653.3,649.7
Europe,613.8,607.2,611.5,614.8,588.9,586.4,560.3,546.6,537.5,521.2,512.1,492.9,487.1,474.4,467.1,465.5,454.1,446.4,440.6,427.1
South-East Asia,667.7,664.6,660.1,643.8,617.7,621.1,627.2,628.0,626.9,603.3,589.4,582.3,576.3,579.3,574.9,568.2,561.5,557.4,558.7,554.6
Western Pacific,601.1,595.3,591.4,586.1,583.8,571.6,548.5,532.6,525.7,518.2,514.3,506.4,495.1,483.9,473.0,463.5,458.9,454.0,448.3,443.8
